readLength	count	fracTotal	fracReadsGreater
2438	1	7.29501e-05	0.358987
2439	1	7.29501e-05	0.358915
2440	3	0.00021885	0.358696
2441	1	7.29501e-05	0.358623
2442	2	0.0001459	0.358477
2443	1	7.29501e-05	0.358404
2444	1	7.29501e-05	0.358331
2445	3	0.00021885	0.358112
2446	2	0.0001459	0.357966
2447	4	0.0002918	0.357674
2448	2	0.0001459	0.357528
2449	4	0.0002918	0.357237
2450	8	0.000583601	0.356653
2451	10	0.000729501	0.355924
2452	11	0.000802451	0.355121
2453	11	0.000802451	0.354319
2454	14	0.0010213	0.353297
2455	16	0.0011672	0.35213
2456	20	0.001459	0.350671
2457	22	0.0016049	0.349066
2458	10	0.000729501	0.348337
2459	18	0.0013131	0.347024
2460	18	0.0013131	0.345711
2461	26	0.0018967	0.343814
2462	19	0.00138605	0.342428
2463	13	0.000948351	0.341479
2464	16	0.0011672	0.340312
2465	15	0.00109425	0.339218
2466	10	0.000729501	0.338488
2467	4	0.0002918	0.338197
2468	20	0.001459	0.336738
2469	10	0.000729501	0.336008
2470	8	0.000583601	0.335425
2471	4	0.0002918	0.335133
2472	8	0.000583601	0.334549
2473	3	0.00021885	0.33433
2474	5	0.000364751	0.333966
2475	3	0.00021885	0.333747
2476	3	0.00021885	0.333528
2477	2	0.0001459	0.333382
2478	2	0.0001459	0.333236
2479	3	0.00021885	0.333017
2480	2	0.0001459	0.332871
2481	2	0.0001459	0.332725
2482	1	7.29501e-05	0.332652
2490	1	7.29501e-05	0.33258
2495	1	7.29501e-05	0.332507
2497	1	7.29501e-05	0.332434
2500	1	7.29501e-05	0.332361
2501	1	7.29501e-05	0.332288
2505	2	0.0001459	0.332142
2507	1	7.29501e-05	0.332069
2508	3	0.00021885	0.33185
2509	1	7.29501e-05	0.331777
2510	2	0.0001459	0.331631
2511	1	7.29501e-05	0.331558
2513	2	0.0001459	0.331412
2514	1	7.29501e-05	0.331339
2515	3	0.00021885	0.331121
2516	4	0.0002918	0.330829
2517	2	0.0001459	0.330683
2518	2	0.0001459	0.330537
2519	3	0.00021885	0.330318
2520	3	0.00021885	0.330099
2521	2	0.0001459	0.329953
2522	5	0.000364751	0.329589
2523	1	7.29501e-05	0.329516
2524	6	0.000437701	0.329078
2525	7	0.000510651	0.328567
2526	6	0.000437701	0.32813
2527	10	0.000729501	0.3274
2528	9	0.000656551	0.326744
2529	13	0.000948351	0.325795
2530	8	0.000583601	0.325212
2531	11	0.000802451	0.324409
2532	23	0.00167785	0.322731
2533	14	0.0010213	0.32171
2534	15	0.00109425	0.320616
2535	18	0.0013131	0.319303
2536	23	0.00167785	0.317625
2537	17	0.00124015	0.316385
2538	22	0.0016049	0.31478
2539	21	0.00153195	0.313248
2540	20	0.001459	0.311789
2541	22	0.0016049	0.310184
2542	12	0.000875401	0.309308
2543	20	0.001459	0.307849
2544	14	0.0010213	0.306828
2545	14	0.0010213	0.305807
2546	18	0.0013131	0.304494
2547	17	0.00124015	0.303254
2548	13	0.000948351	0.302305
2549	7	0.000510651	0.301795
2550	6	0.000437701	0.301357
2551	7	0.000510651	0.300846
2552	8	0.000583601	0.300263
2553	6	0.000437701	0.299825
2554	5	0.000364751	0.29946
2555	6	0.000437701	0.299022
2556	4	0.0002918	0.298731
2557	2	0.0001459	0.298585
2558	6	0.000437701	0.298147
2559	7	0.000510651	0.297636
2560	7	0.000510651	0.297126
2561	11	0.000802451	0.296323
2562	8	0.000583601	0.29574
2563	17	0.00124015	0.2945
2564	7	0.000510651	0.293989
2565	10	0.000729501	0.293259
2566	11	0.000802451	0.292457
2567	6	0.000437701	0.292019
2568	7	0.000510651	0.291509
2569	14	0.0010213	0.290487
2570	16	0.0011672	0.28932
2571	16	0.0011672	0.288153
2572	9	0.000656551	0.287496
2573	18	0.0013131	0.286183
2574	9	0.000656551	0.285527
2575	15	0.00109425	0.284432
2576	25	0.00182375	0.282609
2577	33	0.00240735	0.280201
2578	31	0.00226145	0.27794
2579	23	0.00167785	0.276262
2580	26	0.0018967	0.274365
2581	36	0.0026262	0.271739
2582	39	0.00284505	0.268894
2583	44	0.0032098	0.265684
2584	44	0.0032098	0.262474
2585	48	0.0035016	0.258973
2586	45	0.00328275	0.25569
2587	27	0.00196965	0.25372
2588	34	0.0024803	0.25124
2589	41	0.00299095	0.248249
2590	37	0.00269915	0.24555
2591	25	0.00182375	0.243726
2592	24	0.0017508	0.241975
2593	20	0.001459	0.240516
2594	11	0.000802451	0.239714
2595	14	0.0010213	0.238693
2596	9	0.000656551	0.238036
2597	12	0.000875401	0.237161
2598	7	0.000510651	0.23665
2599	5	0.000364751	0.236285
2600	5	0.000364751	0.235921
2601	4	0.0002918	0.235629
2602	8	0.000583601	0.235045
2603	6	0.000437701	0.234608
2604	9	0.000656551	0.233951
2605	7	0.000510651	0.23344
2606	10	0.000729501	0.232711
2607	8	0.000583601	0.232127
2608	6	0.000437701	0.23169
2609	17	0.00124015	0.230449
2610	7	0.000510651	0.229939
2611	16	0.0011672	0.228772
2612	17	0.00124015	0.227531
2613	14	0.0010213	0.22651
2614	18	0.0013131	0.225197
2615	18	0.0013131	0.223884
2616	22	0.0016049	0.222279
2617	8	0.000583601	0.221695
2618	13	0.000948351	0.220747
2619	16	0.0011672	0.21958
2620	19	0.00138605	0.218194
2621	13	0.000948351	0.217245
2622	14	0.0010213	0.216224
2623	8	0.000583601	0.215641
2624	13	0.000948351	0.214692
2625	9	0.000656551	0.214036
2626	5	0.000364751	0.213671
2627	9	0.000656551	0.213014
2628	3	0.00021885	0.212795
2629	7	0.000510651	0.212285
2630	3	0.00021885	0.212066
2631	6	0.000437701	0.211628
2632	2	0.0001459	0.211482
2635	1	7.29501e-05	0.211409
2636	2	0.0001459	0.211263
2637	1	7.29501e-05	0.211191
2639	2	0.0001459	0.211045
2642	2	0.0001459	0.210899
2645	1	7.29501e-05	0.210826
2647	1	7.29501e-05	0.210753
2649	4	0.0002918	0.210461
2651	1	7.29501e-05	0.210388
2652	2	0.0001459	0.210242
2656	1	7.29501e-05	0.210169
2657	2	0.0001459	0.210023
2658	2	0.0001459	0.209877
2659	2	0.0001459	0.209732
2660	4	0.0002918	0.20944
2661	1	7.29501e-05	0.209367
2663	7	0.000510651	0.208856
2664	5	0.000364751	0.208491
2665	3	0.00021885	0.208273
2666	8	0.000583601	0.207689
2667	10	0.000729501	0.206959
2668	3	0.00021885	0.206741
2669	7	0.000510651	0.20623
2670	9	0.000656551	0.205573
2671	6	0.000437701	0.205136
2672	15	0.00109425	0.204041
2673	11	0.000802451	0.203239
2674	18	0.0013131	0.201926
2675	15	0.00109425	0.200832
2676	14	0.0010213	0.19981
2677	14	0.0010213	0.198789
2678	19	0.00138605	0.197403
2679	23	0.00167785	0.195725
2680	17	0.00124015	0.194485
2681	9	0.000656551	0.193828
2682	18	0.0013131	0.192515
2683	13	0.000948351	0.191567
2684	12	0.000875401	0.190692
2685	10	0.000729501	0.189962
2686	10	0.000729501	0.189233
2687	8	0.000583601	0.188649
2688	12	0.000875401	0.187774
2689	5	0.000364751	0.187409
2690	3	0.00021885	0.18719
2691	6	0.000437701	0.186752
2692	5	0.000364751	0.186388
2693	2	0.0001459	0.186242
